Molecule ChEMBL ID,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Assay ChEMBL ID,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,IC50_nM,pIC50,Smiles,Molecular_Weight,LogP
CHEMBL4520946,IC50,'=',0.2,nM,9.7,CHEMBL4331758,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4330088,0.2,9.7,CC[C@@H]1[C@H](F)C(=O)N[C@@H]1COc1cccc2cc(C(N)=O)c(OC)cc12,360.38500000000016,2.1887999999999996
CHEMBL5202941,IC50,'=',0.2,nM,9.7,CHEMBL5142857,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5137104,0.2,9.7,COc1cc2nn([C@H]3CC[C@H](N(C)C(C)=O)CC3)cc2cc1C(=O)Nc1cnc2cccnn12,461.5260000000001,3.3019000000000016
CHEMBL5196239,IC50,'=',0.2,nM,9.7,CHEMBL5142857,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5137104,0.2,9.7,COc1cc2nn([C@H]3CC[C@H](N(C)C(=O)[C@@H](C)O)CC3)cc2cc1C(=O)Nc1cnc2cccnn12,491.55200000000025,2.6628000000000007
CHEMBL3353189,IC50,'=',0.24,nM,9.62,CHEMBL3380177,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3351266,0.24,9.62,Cl.Cn1cc(NC(=O)c2coc(-c3ccnc(NCC(F)(F)F)c3)n2)c(C(N)=O)n1,445.7890000000001,2.2172999999999994
CHEMBL4524299,IC50,'=',0.29,nM,9.54,CHEMBL4361896,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4359855,0.29,9.54,COc1cc2c(OC[C@@H]3CCC(=O)N3)ncc(C#CCOCCOCCOCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)c2cc1C(N)=O,942.1049999999999,3.032120000000006
CHEMBL3590474,IC50,'=',0.3,nM,9.52,CHEMBL3592269,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3588771,0.3,9.52,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(N)=O)n1,397.4430000000002,0.49580000000000113
CHEMBL5204583,IC50,'=',0.3,nM,9.52,CHEMBL5142857,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5137104,0.3,9.52,COc1cc2nn([C@H]3CC[C@H](N(C)C(=O)N4CC[C@@H](O)C4)CC3)cc2cc1C(=O)Nc1cnc2cccnn12,532.6050000000002,2.942
CHEMBL4093120,IC50,'=',0.3,nM,9.52,CHEMBL4015944,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4014327,0.3,9.52,COc1cc2c(OC[C@H]3NC(=O)[C@@H](F)[C@H]3C)nccc2cc1C(N)=O,347.3460000000001,1.1936999999999998
CHEMBL3634613,IC50,'=',0.3,nM,9.52,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.3,9.52,Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCC[C@@H]4N)nc23)c(Cl)n1,405.91500000000025,3.0123000000000006
CHEMBL3590478,IC50,'=',0.3,nM,9.52,CHEMBL3592269,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3588771,0.3,9.52,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C(F)(F)F)n1,422.41500000000013,2.4156999999999997
CHEMBL3353199,IC50,'=',0.32,nM,9.49,CHEMBL3380186,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3351266,0.32,9.49,Cc1cc(Nc2ncc(-c3nc4ccccc4s3)c(NC3C[C@H](CO)[C@@H](O)[C@H]3O)n2)cc(C)n1.Cl,515.0390000000002,3.445040000000001
CHEMBL4466981,IC50,'=',0.32,nM,9.49,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.32,9.49,COC(C)(C)CCN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCOCC3)cc2C1=O,478.55300000000034,2.589100000000001
CHEMBL3353188,IC50,'=',0.36,nM,9.44,CHEMBL3380177,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3351266,0.36,9.44,Cl.NC(=O)c1nn(-c2cccnc2)cc1NC(=O)c1coc(-c2ccnc(NCC(F)(F)F)c2)n1,508.84800000000024,3.0645000000000007
CHEMBL4468790,IC50,'=',0.38,nM,9.42,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.38,9.42,CN1Cc2cc(NC(=O)c3cnn4cccnc34)c(N3CCOCC3)cc2C1=O,392.41900000000027,1.4038
CHEMBL3634509,IC50,'=',0.4,nM,9.4,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.4,9.4,Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCNC4)nc23)c(C(F)F)n1,407.45000000000016,2.778600000000001
CHEMBL3634616,IC50,'=',0.4,nM,9.4,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.4,9.4,Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C#N)n1,396.48000000000025,2.23058
CHEMBL4452765,IC50,'=',0.47,nM,9.33,CHEMBL4345131,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4342485,0.47,9.33,O=C(Nc1cc2c(cc1N1CCOCC1)C(=O)N(CC1CCOCC1)C2)c1cnn2cccnc12,476.53700000000026,2.2005999999999997
CHEMBL3590515,IC50,'=',0.5,nM,9.3,CHEMBL3592269,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3588771,0.5,9.3,Cn1cc(NC(=O)c2cnn3ccc(N4C[C@H](N)CC(F)(F)C4)nc23)c(C(F)F)n1,426.3780000000001,1.8253999999999997
CHEMBL4091434,IC50,'=',0.5,nM,9.3,CHEMBL4015944,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4014327,0.5,9.3,CC[C@@H]1CC(=O)N[C@@H]1COc1nccc2cc(C(N)=O)c(OC)cc12,343.38300000000015,1.6357999999999997
CHEMBL3634381,IC50,'=',0.5,nM,9.3,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.5,9.3,Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C(F)F)n1,404.42500000000007,2.3344999999999994
CHEMBL3590516,IC50,'=',0.5,nM,9.3,CHEMBL3592269,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3588771,0.5,9.3,Cn1cc(NC(=O)c2cnn3ccc(N4C[C@H](N)C[C@@H](F)C4)nc23)c(C(F)(F)F)n1,426.3780000000001,1.6094
CHEMBL4791626,IC50,'=',0.55,nM,9.26,CHEMBL4678083,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4673322,0.55,9.26,CN(C)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,435.4500000000001,3.4914000000000023
CHEMBL5193253,IC50,'=',0.6,nM,9.22,CHEMBL5122777,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5120828,0.6,9.22,CN1CC[C@H](n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)[C@H](F)C1,426.5000000000001,2.4477
CHEMBL5200601,IC50,'=',0.6,nM,9.22,CHEMBL5122777,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5120828,0.6,9.22,C[C@H]1C[C@@H](n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CCN1C,422.53700000000015,2.888200000000001
CHEMBL5283628,IC50,'=',0.6,nM,9.22,CHEMBL5246637,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5244269,0.6,9.22,CN1CCC(n2cc(Nc3nc(OC4(C)CC4)c4nc(-c5cncnc5)ccc4n3)cn2)CC1,457.54200000000014,3.619900000000002
CHEMBL5270030,IC50,'=',0.6,nM,9.22,CHEMBL5246637,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5244269,0.6,9.22,Cc1ncc(-c2nc3c(NC4(C)CC4)nc(Nc4cnn(C5CC6(C5)CN(C)C6)c4)nc3cc2F)cn1,500.5860000000003,4.100520000000003
CHEMBL4085199,IC50,'=',0.6,nM,9.22,CHEMBL4015944,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4014327,0.6,9.22,COc1cc2c(OC[C@H]3NC(=O)[C@@]4(F)[C@@H]3[C@@H]4C)nccc2cc1C(N)=O,359.3570000000001,1.1936999999999998
CHEMBL5282803,IC50,'=',0.7,nM,9.15,CHEMBL5262917,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5260813,0.7,9.15,Cn1cc(NC(=O)c2ccc3cnc(NC4CCCCC4N)nn23)c(C(N)=O)n1.O=C(O)C(F)(F)F,511.4650000000002,1.1291000000000002
CHEMBL3634615,IC50,'=',0.7,nM,9.15,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.7,9.15,Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C#N)n1,378.4400000000001,1.8735799999999998
CHEMBL3634511,IC50,'=',0.7,nM,9.15,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.7,9.15,Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCCNC4)nn23)c(C(F)F)n1,404.42500000000007,2.2066999999999997
CHEMBL3601192,IC50,'=',0.74,nM,9.13,CHEMBL3603417,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3600286,0.74,9.13,Cc1cc(Nc2ncc(-c3ccc4ccccc4n3)c(N[C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)n2)cc(C)n1,472.5490000000002,2.9617400000000007
CHEMBL5201376,IC50,'=',0.8,nM,9.1,CHEMBL5122777,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5120828,0.8,9.1,CN(C)C(=O)CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1,479.5890000000004,1.9580999999999997
CHEMBL5176837,IC50,'=',0.8,nM,9.1,CHEMBL5150846,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5149977,0.8,9.1,COc1cc2ncc(-c3cccc(NC4CCNC4)n3)n2cc1-c1cnn(C)c1,389.4630000000001,2.579200000000001
CHEMBL3634505,IC50,'=',0.8,nM,9.1,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.8,9.1,Cn1cc(NC(=O)c2csc3ncc(N[C@@H]4CCCNC4)nc23)c(C(F)(F)F)n1,425.44000000000017,2.859800000000001
CHEMBL3590477,IC50,'=',0.8,nM,9.1,CHEMBL3592269,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3588771,0.8,9.1,Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(C#N)n1,379.42800000000017,1.2685799999999996
CHEMBL4113747,IC50,'=',0.9,nM,9.05,CHEMBL3887118,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3886172,0.9,9.05,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1Nc1cnn(S(C)(=O)=O)c1,527.5420000000003,1.2737799999999995
CHEMBL3634508,IC50,'=',0.9,nM,9.05,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,0.9,9.05,Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCNC4)nn23)c(C(F)F)n1,389.41,2.4216000000000006
CHEMBL3634513,IC50,'=',1.0,nM,9.0,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,1.0,9.0,Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCC[C@@H]4N)nn23)c(Cl)n1,388.8630000000001,2.0503
CHEMBL4106613,IC50,'=',1.0,nM,9.0,CHEMBL3887118,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3886172,1.0,9.0,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1COC1,438.46300000000025,1.9416799999999996
CHEMBL3634507,IC50,'=',1.0,nM,9.0,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,1.0,9.0,Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCNC4)nn23)c(C(F)F)n1,390.398,1.8165999999999993
CHEMBL5281595,IC50,'=',1.0,nM,9.0,CHEMBL5246637,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5244269,1.0,9.0,CN1CCC(n2cc(Nc3nc(OC4(C)CC4)c4nc(-c5ccnnc5)ccc4n3)cn2)CC1,457.54200000000014,3.619900000000002
CHEMBL5266861,IC50,'=',1.0,nM,9.0,CHEMBL5262917,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5260813,1.0,9.0,CCn1cc(NC(=O)c2ccc3cnc(NC4CCCCC4N)nn23)c(C(N)=O)n1.O=C(O)C(F)(F)F,525.4920000000003,1.611999999999999
CHEMBL3634514,IC50,'=',1.0,nM,9.0,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,1.0,9.0,Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCC[C@@H]4N)nn23)c(Cl)n1,387.87500000000006,2.6552999999999995
CHEMBL3634504,IC50,'=',1.0,nM,9.0,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,1.0,9.0,Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCNC4)nn23)c(C(F)(F)F)n1,407.40000000000003,2.5027999999999997
CHEMBL3634614,IC50,'=',1.0,nM,9.0,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,1.0,9.0,Cn1cc(NC(=O)c2ccc3cnc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C#N)n1,379.4280000000001,1.2685799999999996
CHEMBL401633,IC50,'=',1.0,nM,9.0,CHEMBL921622,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1145577,1.0,9.0,Clc1ccc2ncc(-c3cccc(NC4CCNC4)n3)n2c1,313.79200000000003,2.8235
CHEMBL3353219,IC50,'=',1.0,nM,9.0,CHEMBL3887963,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3886519,1.0,9.0,NCC1CCN(c2ccc(Cl)cc2NC(=O)c2cnn3cc(O)cnc23)CC1,400.8700000000002,2.5157000000000007
CHEMBL4112434,IC50,'=',1.0,nM,9.0,CHEMBL3887118,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3886172,1.0,9.0,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCC(F)C1,468.50800000000027,3.433480000000001
CHEMBL5209502,IC50,'=',1.0,nM,9.0,CHEMBL5122777,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5120828,1.0,9.0,CN1CC[C@H](n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)[C@@H](F)C1,426.5000000000001,2.4477
CHEMBL4106870,IC50,'=',1.0,nM,9.0,CHEMBL3887118,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3886172,1.0,9.0,CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ccc3cc(C#N)cnc32)cc1NC1CCOCC1,466.51700000000034,2.7218800000000005
CHEMBL256570,IC50,'=',1.0,nM,9.0,CHEMBL921622,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1145577,1.0,9.0,Clc1ccc2ncc(-c3cccc(NC4CCNCC4)n3)n2c1,327.8190000000001,3.2136000000000013
CHEMBL5193024,IC50,'=',1.0,nM,9.0,CHEMBL5122777,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5120828,1.0,9.0,CN1CC2(CC(n3cc(Nc4nc(NC5(C)CC5)c5c(=O)n(C)ccc5n4)cn3)C2)C1,420.5210000000002,2.4997000000000007
CHEMBL3634382,IC50,'=',1.0,nM,9.0,CHEMBL3637446,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3632465,1.0,9.0,Cn1cc(NC(=O)c2ccc3ccc(N[C@@H]4CCCC[C@@H]4N)nn23)c(C(F)F)n1,403.43700000000007,2.9395000000000007
CHEMBL5193053,IC50,'=',1.0,nM,9.0,CHEMBL5122777,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL5120828,1.0,9.0,CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(-c5cnn[nH]5)ccc4n3)cn2)CC1,461.53400000000016,2.0699999999999994
CHEMBL3590493,IC50,'=',1.0,nM,9.0,CHEMBL3592269,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3588771,1.0,9.0,Cn1cc(NC(=O)c2cnn3ccc(N4C[C@H](N)CC(F)(F)C4)nc23)c(C(F)(F)F)n1,444.3680000000001,1.9065999999999999
CHEMBL4106804,IC50,'=',1.0,nM,9.0,CHEMBL3887118,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3886172,1.0,9.0,CC(C)(C)Nc1cc(-n2ncc3cc(C#N)c(N)nc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,454.51000000000016,2.3185800000000003
CHEMBL4539647,IC50,'=',1.0,nM,9.0,CHEMBL4323523,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL4321825,1.0,9.0,CC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccc(C#N)cc34)CC2)CC1,473.5850000000004,2.865780000000001
CHEMBL3590488,IC50,'=',1.0,nM,9.0,CHEMBL3592269,CHEMBL3778,Interleukin-1 receptor-associated kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL3588771,1.0,9.0,Cn1cc(NC(=O)c2cnn3ccc(N4CCNCC4)nc23)c(C(F)F)n1,376.3710000000001,1.0622999999999996
