pIC50,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,BCUT2D_LOGPLOW,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi2n,Chi2v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA3,PEOE_VSA4,PEOE_VSA6,PEOE_VSA9,SMR_VSA3,SMR_VSA5,SlogP_VSA5,TPSA,EState_VSA1,VSA_EState1,HeavyAtomCount,NOCount,NumAromaticCarbocycles,NumAromaticHeterocycles,NumHAcceptors,NumHeteroatoms,NumRotatableBonds,MolMR,fr_NH0,fr_benzene,fr_pyridine
9.4,396.48000000000025,376.3200000000001,396.1480782600001,144,-2.422926660412638,1065.4004443605918,19.672997628507925,15.345093298311465,16.16158987923919,13.546045193307767,9.063459700577198,6.8884996222159,7.746602474073917,-3.03,18.338747786234524,7.534563484869506,3.5392439245111045,165.1294192683431,9.967957041894415,10.360573363039524,12.84164324585202,17.447681337993636,19.74844178534064,37.76696814999996,41.73520316232132,134.54000000000002,0.0,1.4812829005612955,28,9,0,3,9,10,4,107.14530000000003,5,0,0
9.33,476.53700000000026,448.3130000000003,476.217203376,182,-2.366555733811244,1262.075567391163,23.777445635193004,19.4815808355481,19.4815808355481,17.16983643339545,12.13522435477746,9.267585129910753,9.267585129910753,-3.5,21.995027209607805,9.273342650013102,4.233179546328335,202.36082546075545,9.499376414562832,5.098681808301038,0.0,30.78538005000604,19.497967953714348,19.386399651764595,39.12107208908665,101.3,0.0,12.583769838548916,35,10,1,2,8,10,5,128.69770000000003,5,1,0
9.3,426.3780000000001,408.234,426.153970076,160,-2.5240027818893904,1094.808075179527,21.62902755413791,15.766159983387546,15.766159983387546,14.125830774556489,8.985794751398346,7.169343151489706,7.169343151489706,-3.2199999999999998,20.069059099616123,7.2337764299649,3.7931813895501945,167.0085967322484,27.06103660526211,10.197363616602075,0.0,18.428986252209214,24.378542966310093,24.81063636502774,28.89818303840248,106.37,42.95650049514028,56.45742497699218,30,9,0,3,8,13,4,98.85760000000003,6,0,0
9.3,343.3830000000001,322.2150000000001,343.153206152,132,-2.343962364166908,821.3185028773083,17.974327015758657,14.242978985242436,14.242978985242436,12.028407103102726,8.21802334548531,6.111446064796071,6.111446064796071,-2.83,17.00803372505024,6.962864084588856,3.3528319870343646,145.05125104794095,4.9839785209472085,0.0,13.344558822616634,18.71508986212249,10.30076712495354,25.807221274690605,30.12336912131146,103.54,5.907179729351506,11.140921969861814,25,7,1,1,5,7,6,92.63660000000004,1,1,1
9.3,404.42500000000007,382.249,404.1884637640001,154,-2.4259123978889043,1030.2148499798934,20.543241116511005,15.84747449224531,15.84747449224531,13.918723993369944,9.420752677944694,7.192695267105481,7.192695267105481,-3.08,19.245734749746045,7.740178246183325,3.902295545770887,164.83249655419723,18.28020650991247,5.098681808301038,12.84164324585202,17.4009305639129,24.378542966310093,44.19241289485915,48.29112441033197,115.16,18.02655246905916,28.8999219253516,29,9,0,3,8,11,5,102.95930000000004,5,0,0
9.3,426.3780000000001,408.234,426.153970076,160,-2.479270568028784,1081.2983001751998,21.62902755413791,15.766159983387546,15.766159983387546,14.11321210636952,9.027273762813332,7.127141304371917,7.127141304371917,-3.2199999999999998,20.069059099616123,7.2337764299649,3.7931813895501945,167.00859673224846,13.88979146223765,23.36860875962653,0.0,18.428986252209214,24.378542966310093,24.810636365027737,22.47273829354329,106.37,29.636467911837297,55.52541611574681,30,9,0,3,8,13,3,98.85160000000003,6,0,0
9.26,435.4500000000001,411.2580000000001,435.188209668,166,-2.218516777527165,1100.5687625950322,22.974327015758654,17.656524864502185,17.656524864502185,14.341373724180311,9.587972267356797,8.071023232589022,8.071023232589022,-2.979999999999999,22.69956028426085,8.274365093652282,5.389813606376363,177.04358023960296,4.9839785209472085,18.26992695132549,6.06636706846161,17.662507934512526,19.66437299524391,32.169580133720984,35.59331906484699,83.28,23.378457052627127,40.548251979501984,31,7,1,2,6,10,6,110.72400000000005,4,1,1
9.22,426.5000000000001,399.2840000000001,426.2291857040001,164,-2.401335146474157,1183.8267207756678,21.750347897697548,17.969129857543333,17.969129857543333,14.810282186424,10.606349738805434,9.041798449765398,9.041798449765398,-3.01,19.924167650272864,7.295401028195238,3.8706075559947575,178.8356272353856,9.374393568622027,10.082660329248244,0.0,23.442771393060863,29.215451163982472,43.938643545510246,32.22804289761662,92.9,6.1716753955102925,17.70191243347396,31,9,0,3,9,10,5,117.59740000000004,6,0,1
9.22,422.53700000000015,392.2970000000002,422.25425758000006,164,-2.3810120126750576,1177.9578910440014,21.750347897697548,18.591165384534104,18.591165384534104,14.810282186423995,10.98236819861992,9.415368495694352,9.415368495694352,-2.94,19.99015746753688,7.333223550037995,3.89415099201095,181.035033946856,4.9839785209472085,10.082660329248244,0.0,23.442771393060863,29.215451163982472,57.15336780176456,45.57260172023325,92.9,0.0,3.609978948781153,31,9,0,3,9,9,5,121.91340000000004,6,0,1
9.22,457.54200000000014,430.3260000000002,457.2338564840001,174,-2.311373994303125,1310.7851849957792,23.12274509681375,19.347399895099816,19.347399895099816,16.544557874043907,11.675937935743985,9.464183539195046,9.464183539195046,-3.66,20.91234355948472,8.282353803074951,4.281462439757047,196.99372934527952,19.935914083788838,10.082660329248244,0.0,29.13669938790932,39.60028707903274,44.24991533152631,38.64886452054263,106.77,0.0,8.345800232170355,34,10,0,4,10,10,6,127.9037,8,0,1
9.22,500.5860000000003,471.3540000000002,500.2560691480001,190,-2.603250173141144,1496.0734064025414,25.36323207281991,21.162415539265933,21.162415539265933,17.76330188905731,12.718367926830132,11.355350288223237,11.355350288223237,-3.73,22.466164221643936,7.882410693741333,4.066598361685547,213.3196347775709,24.326329131463652,10.082660329248244,0.0,23.44277139306086,39.600287079032746,51.11152697261659,44.47326901854255,109.57,5.817220841045895,17.205456690869003,37,10,0,4,10,11,6,138.0263999999999,8,0,1
9.22,359.3570000000001,341.2130000000001,359.128134276,136,-2.379369104144885,934.0373137656412,18.63746372257519,14.284080165068191,14.284080165068191,12.373264456831986,8.267882700994962,6.727451151144154,6.727451151144154,-2.9,16.562104196943675,5.55127820312456,2.210504329155873,148.21095529733796,9.374393568622027,0.0,6.923737199690624,18.71508986212249,10.30076712495354,18.634337847584263,17.28172587545944,103.54,23.524960106596648,25.375938515714463,26,7,1,1,5,8,5,90.73160000000004,1,1,1
9.15,511.4650000000002,487.27300000000014,511.19033490800007,194,-2.425916049243496,1271.081912147115,26.62059138570063,18.989149141682223,18.989149141682223,16.862099666344005,10.683118695200394,8.022527557251507,8.022527557251507,-4.210000000000002,26.395720568723437,10.592397488843432,6.262862354413695,201.19091598874212,14.293913598634653,18.26992695132549,12.84164324585202,17.4009305639129,24.378542966310093,43.94326666744344,46.6602168495446,195.55,23.95996326409833,34.641747438228215,36,13,0,3,10,16,5,120.21100000000006,5,0,0
9.15,378.4400000000001,356.264,378.1916573240001,144,-2.4236534307207758,1059.7484716311253,19.672997628507925,15.591545546226854,15.591545546226854,13.546045193307767,9.309451341058882,7.103936609446417,7.103936609446417,-3.3800000000000003,18.00530517350135,7.324622661886986,3.417763526348272,161.67435744886697,4.515397893615623,10.360573363039524,12.84164324585202,11.204086992299825,19.39456444536288,37.76696814999996,41.865679665472776,126.06,0.0,3.0759211910626814,28,9,0,3,8,9,4,104.92230000000004,5,0,0
9.15,404.42500000000007,382.249,404.18846376400006,154,-2.314490861451783,1006.627599579811,20.380104409694475,15.899880735052603,15.899880735052603,14.008040390846984,9.461192792464574,7.034720019986255,7.034720019986255,-3.08,19.245734749746045,8.113866179127092,4.186421374495755,165.04246804079258,18.28020650991247,5.098681808301038,6.4208216229260096,17.4009305639129,29.69533157031642,31.729750442785186,41.87030278740596,101.17,18.02655246905916,28.935608714778088,29,9,0,3,8,11,5,103.23660000000004,5,0,0
9.13,472.5490000000002,444.3250000000003,472.222288756,180,-2.353750202114691,1344.0061454740503,24.52636877963645,19.550262230337932,19.550262230337932,16.906218538613903,11.600901570181223,9.019038690907418,9.019038690907418,-3.66,23.09920614651622,9.533850969141684,4.787943956252879,202.501979372594,9.967957041894415,4.9839785209472085,24.26546827384644,28.919887421057982,19.935914083788838,38.51806962695183,17.808677612622933,136.31,24.16767965080596,0.0,35,9,1,3,9,9,6,134.3798,4,1,2
9.1,479.5890000000004,446.3250000000003,479.275721296,186,-2.4107454588639308,1300.05735898004,24.741911729260263,20.783490563681397,20.783490563681397,16.70412903654135,12.099524210328086,10.20302597048012,10.20302597048012,-3.47,23.28022451622961,8.95329105539497,4.9955416005316255,203.68627394589632,4.9839785209472085,10.082660329248244,0.0,29.987527798973435,34.115360894832946,44.18778977292597,38.64886452054263,113.21,0.0,3.5273659662911974,35,11,0,3,10,11,7,134.95539999999997,7,0,1
9.1,389.4630000000001,366.2790000000001,389.19640835600006,148,-2.221789348921388,1157.0186370389688,19.794317972067567,16.46178903422993,16.46178903422993,14.207841235856243,9.698761819068553,7.271935145915944,7.271935145915944,-3.39,17.691146996967557,7.213257143467081,3.3144412153131357,168.10737247526467,9.967957041894415,5.098681808301038,6.06636706846161,30.89134067420061,29.465924995608766,12.462662452073973,6.4208216229260096,81.30000000000001,0.0,9.433455015929278,29,8,0,4,8,8,5,112.07440000000004,5,0,2
9.1,425.44000000000017,407.2960000000001,425.12456385600007,154,-2.381509383414929,1039.4928701378592,20.595647359318303,15.377072583459936,16.19356916438766,13.80868165372921,8.947239726860941,6.762926654671046,7.621029506529063,-2.7299999999999995,19.580560152411564,7.594964541619848,4.171993683924056,167.07847516785185,9.967957041894415,18.26992695132549,0.0,17.447681337993636,25.06523038934697,25.05978259244345,28.8935599164693,96.76,23.464792516327,40.370931504445664,29,8,0,3,8,12,4,103.09260000000005,4,0,0
9.1,379.42800000000017,358.26000000000005,379.1869062920001,144,-2.4229304293390475,1060.8711193476108,19.672997628507925,15.461408872537186,15.461408872537186,13.546045193307767,9.165165518030244,6.9693227702544025,6.9693227702544025,-3.45,17.93866472771829,7.282865455109386,3.3936962508132007,160.89400542981352,9.499376414562832,15.459255171340562,12.84164324585202,11.884229846296638,24.378542966310093,37.76696814999996,41.73520316232132,138.95,5.907179729351506,3.0072346516320945,28,10,0,3,9,10,4,102.71730000000004,6,0,0
9.05,527.5420000000003,505.3660000000003,527.1499494040002,192,-2.417231808494188,1633.78339871567,26.95745467888409,19.9145753335679,20.731071914495622,17.36254177423549,10.77768610734112,8.713873316924591,10.55403134261273,-4.419999999999999,25.66631049711502,9.55982633593,5.546833846682319,210.1749270506137,22.77616907389817,24.228167302076688,0.0,59.49378264800801,34.25102139323894,25.620200605875223,29.76891456684706,180.71,34.247953495165646,39.92643394555791,37,13,0,4,12,15,8,130.65349999999998,7,0,2
9.05,389.41,368.242,389.1775647320001,148,-2.3824547535701504,991.1489217971138,19.67299762850793,15.322910627555723,15.322910627555723,13.508040390846984,9.101395572895582,6.817934686275151,6.817934686275151,-3.01,18.357813569920665,7.546617769725996,3.67639350883318,159.4578779454495,13.296227988965262,5.098681808301038,0.0,11.204086992299825,24.71135304936921,25.30892881985917,35.449481164479955,88.28,18.02655246905916,28.95649634221198,28,8,0,3,7,10,5,100.82460000000005,4,0,0
9.0,388.8630000000001,367.695,388.15268497200015,142,-2.425909501273197,980.6325424734052,18.96589084732138,14.892159750046456,15.648088696064912,13.008040390846984,8.88462399938251,6.797568298539428,7.155581385989745,-2.6500000000000004,17.748353659147956,7.163988198062492,3.6031599931954887,160.4397498608298,9.499376414562832,5.098681808301038,24.442583136084536,17.4009305639129,24.378542966310093,37.76696814999996,36.17175167062432,115.16,0.0,3.0923469280241327,27,9,0,3,8,10,4,103.0123,5,0,0
9.0,438.46300000000025,415.2790000000002,438.181566816,166,-2.427557247829424,1192.5748078073902,22.880104409694468,17.670651528513396,17.670651528513396,15.257370058712953,10.12563756707042,8.232399232519686,8.232399232519686,-3.55,21.673331252322185,8.529454719681635,4.392748754648233,183.39932025059335,14.358372089569237,5.261891554738487,0.0,48.215701233147605,19.8518452936921,31.662041435023188,29.76891456684706,125.09,17.679905935845486,21.03440020532417,32,9,0,3,8,10,7,115.33670000000004,4,0,2
9.0,390.398,370.238,390.17281370000006,148,-2.3850129058849743,992.3721879762228,19.67299762850793,15.192773953866055,15.192773953866055,13.508040390846984,8.961192792464576,6.681166629392981,6.681166629392981,-3.08,18.291088907316038,7.504454898048695,3.651191870688956,158.67752592639593,18.28020650991247,5.098681808301038,0.0,17.4009305639129,29.69533157031642,25.30892881985917,35.449481164479955,101.17,18.02655246905916,28.867467416592145,28,9,0,3,8,11,5,98.61960000000003,5,0,0
9.0,457.54200000000014,430.3260000000002,457.2338564840001,174,-2.3113739862633675,1310.7851849957792,23.12274509681375,19.347399895099816,19.347399895099816,16.544557874043907,11.692873489582992,9.468149616326071,9.468149616326071,-3.66,20.91234355948472,8.282353803074951,4.281462439757047,196.96218291368427,9.967957041894415,20.28002394585032,0.0,41.53038653113548,39.8296936537404,44.24991533152631,38.64886452054263,106.77,0.0,8.349894672104996,34,10,0,4,10,10,6,127.9037,8,0,1
9.0,525.4920000000003,499.28400000000016,525.2059849720001,200,-2.4259160636287573,1288.0180175862847,27.32769816688718,19.69625592286877,19.69625592286877,17.400104468804788,11.259239646903822,8.204551975593548,8.204551975593548,-4.210000000000002,27.37874992657047,11.236164369072435,6.72071647697629,207.5558581031388,14.293913598634653,18.26992695132549,12.84164324585202,17.4009305639129,24.378542966310093,57.411760273046646,53.58395404923523,195.55,23.95996326409833,34.774559938228215,37,13,0,3,10,16,6,124.90400000000008,5,0,0
